plan_id;subject_id;year_suggested;semester_suggested
16;69;1;1
16;70;1;1
16;71;1;1
16;72;1;1
16;73;1;2
16;74;1;2
16;75;1;2
16;76;1;2
16;77;2;1
16;78;2;1
16;79;2;1
16;80;2;1
16;81;2;2
16;82;2;2
16;83;2;2
16;84;2;2
16;85;3;1
16;86;3;1
16;87;3;1
16;88;3;1
16;89;3;2
16;90;3;2
16;91;3;2
16;92;3;2
16;93;4;1
16;94;4;1
16;95;4;1
16;96;4;1
16;97;4;2
16;98;4;2
16;99;4;2
16;100;4;2
16;101;5;1
16;102;5;1
16;103;5;1
16;104;5;1
16;105;5;2
16;106;5;2
16;107;5;2
16;108;5;2
16;109;6;1
16;110;6;1
16;111;6;1
16;112;6;1
16;113;6;1
16;114;6;1
16;115;6;1
16;116;6;1
16;117;7;2
16;118;7;2
16;119;7;2
16;120;7;2
16;121;7;1
16;122;7;1
