id;code;name;credits
69;4052;Analisis Matematico I;4
70;4053;Infraestructura Tecnologica;4
71;4054;Algebra y geometrica analitica I;4
72;4055;Fisica I;4
73;4056;Sistemas de representacion;4
74;4057;Introduccion al ejercicio profesional;4
75;4058;Elementos de economia;4
76;4059;Analisis matematico II;4
77;4060;Fisica II;4
78;4061;Fundamentos de quimica;4
79;4062;Algebra y geometrica analitica II;4
80;4063;Organización industrial I;4
81;4064;Costos industriales;4
82;4065;Analisis matematico III;4
83;4066;Etica profesional y legislacion;4
84;4067;Elementos de programacion;4
85;4068;Fisica III;4
86;4069;Materiales industriales;4
87;4070;Tecnologia de materiales y procesos I;4
88;4071;Higiene, seguridad e Ingenieria ambiental;4
89;4072;Probabilidad y estadistica;4
90;4073;Quimica industrial;4
91;4074;Gestion de operaciones I;4
92;4075;Electrotecnia y maquinas electricas;4
93;4076;Termodinamica;4
94;4077;Organización industrial II;4
95;4078;Tecnologia de materiales y procesos II;4
96;4079;Gestion de la innovacion y emprendedor;4
97;4080;Estadistica aplicada;4
98;4081;Gestion de operaciones II;4
99;4082;Espacio de integracion tecnologica;4
100;4083;Maquinas termicas;4
101;4084;Gestion de la calidad;4
102;4085;Mecanica de los fluidos;4
103;4086;Investigacion operativa;4
104;4087;Procesos industriales I;4
105;4088;Gestion comercial;4
106;4089;Gestion logistica;4
107;4090;Finanzas de la empresa;4
108;4091;Sistemas informaticos de gestion;4
109;4092;Gestion y evaluacion de proyectos;4
110;4093;Elementos de maquinas y mecanismos;4
111;4094;Ecologia industrial y desarrollo sustentable;4
112;4095;Procesos industriales II;4
113;4096;Industrias de servicios;4
114;4097;Responsabilidad social universitaria;4
115;4098;Proyecto final integrador;4
116;4099;Automatizacion industrial;4
117;4100;Electiva I (Sistemas de gestion y mejora continua);4
118;4101;Instalaciones industriales;4
119;4102;Electiva II (Manejo y distribucion de materiales);4
120;4103;Electiva III (Inteligencia industrial y manejo de datos);4
121;4104;Gestion industrial;4
122;4105;Practica profesional supervisada;4
